iter	Passed	Remaining
0	25	7507
1	47	7128
2	71	7121
3	97	7183
4	127	7523
5	153	7526
6	179	7519
7	206	7547
8	232	7511
9	255	7395
10	277	7294
11	302	7268
12	328	7244
13	353	7215
14	383	7284
15	418	7436
16	446	7425
17	482	7555
18	510	7548
19	535	7494
20	558	7425
21	584	7385
22	607	7318
23	631	7260
24	653	7191
25	677	7140
26	701	7091
27	724	7033
28	749	7000
29	781	7029
30	804	6983
31	829	6945
32	861	6972
33	903	7071
34	930	7046
35	956	7011
36	980	6970
37	1003	6918
38	1028	6881
39	1052	6840
40	1078	6811
41	1102	6771
42	1125	6727
43	1149	6689
44	1175	6660
45	1198	6620
46	1222	6579
47	1248	6556
48	1271	6513
49	1295	6478
50	1319	6439
51	1346	6422
52	1372	6394
53	1396	6360
54	1421	6334
55	1444	6295
56	1467	6256
57	1492	6225
58	1516	6193
59	1540	6161
60	1565	6133
61	1591	6109
62	1614	6073
63	1639	6045
64	1688	6103
65	1715	6082
66	1737	6043
67	1760	6006
68	1783	5970
69	1807	5939
70	1830	5903
71	1854	5873
72	1874	5829
73	1899	5801
74	1923	5770
75	1946	5737
76	1971	5710
77	1996	5681
78	2026	5669
79	2057	5658
80	2080	5624
81	2102	5590
82	2126	5559
83	2148	5525
84	2174	5501
85	2198	5470
86	2223	5444
87	2257	5438
88	2286	5420
89	2313	5398
90	2337	5369
91	2365	5348
92	2391	5322
93	2415	5294
94	2441	5267
95	2464	5236
96	2487	5205
97	2514	5183
98	2538	5153
99	2561	5122
100	2585	5093
101	2609	5064
102	2634	5038
103	2657	5007
104	2681	4980
105	2706	4953
106	2731	4926
107	2754	4896
108	2777	4867
109	2802	4839
110	2826	4813
111	2852	4788
112	2874	4757
113	2898	4728
114	2922	4701
115	2947	4675
116	2972	4649
117	2996	4621
118	3018	4591
119	3042	4563
120	3068	4539
121	3091	4511
122	3114	4481
123	3137	4452
124	3163	4428
125	3190	4405
126	3213	4377
127	3239	4353
