iter	Accuracy	Logloss
0	0.7684630739	0.6711526897
1	0.7974051896	0.6426813731
2	0.8113772455	0.6221157538
3	0.8343313373	0.6012266848
4	0.8373253493	0.5844295296
5	0.8383233533	0.5645867688
6	0.8323353293	0.5489082869
7	0.8303393214	0.5368191839
8	0.8283433134	0.5249916427
9	0.8303393214	0.5116601514
10	0.8303393214	0.497824115
11	0.8323353293	0.4876410509
12	0.8383233533	0.4816564381
13	0.8383233533	0.4760329804
14	0.8393213573	0.470637095
15	0.8383233533	0.4621781218
16	0.8403193613	0.4546626352
17	0.8423153693	0.4437067637
18	0.8413173653	0.4332640871
19	0.8413173653	0.4272649769
20	0.8423153693	0.4235695479
21	0.8443113772	0.4156574242
22	0.8453093812	0.4117830014
23	0.8443113772	0.4079779893
24	0.8443113772	0.4058800733
25	0.8423153693	0.4030556441
26	0.8433133733	0.3978317779
27	0.8453093812	0.3947989945
28	0.8453093812	0.3917306378
29	0.8463073852	0.3878101037
30	0.8463073852	0.384963106
31	0.8473053892	0.3835104449
32	0.8483033932	0.3803367082
33	0.8493013972	0.3777180746
34	0.8493013972	0.3755441692
35	0.8493013972	0.3743349178
36	0.8493013972	0.3716375233
37	0.8493013972	0.3699335338
38	0.8512974052	0.366350094
39	0.8532934132	0.3647778296
40	0.8502994012	0.3627460655
41	0.8502994012	0.3610512435
42	0.8512974052	0.3584652594
43	0.8512974052	0.3559833763
44	0.8502994012	0.3533209765
45	0.8502994012	0.3521510446
46	0.8493013972	0.350025413
47	0.8493013972	0.3485787215
48	0.8522954092	0.3466417994
49	0.8493013972	0.3451394026
50	0.8512974052	0.3434177787
51	0.8532934132	0.3412874568
52	0.8512974052	0.3399094755
53	0.8522954092	0.3389148522
54	0.8522954092	0.3380544209
55	0.8522954092	0.3371461727
56	0.8522954092	0.3354022546
57	0.8522954092	0.3344139967
58	0.8522954092	0.3334013735
59	0.8542914172	0.3320338997
60	0.8542914172	0.3313699749
61	0.8552894212	0.3296316303
62	0.8562874251	0.328898112
63	0.8572854291	0.3284733024
64	0.8582834331	0.3277988091
65	0.8582834331	0.3252556776
66	0.8572854291	0.3246451433
67	0.8582834331	0.3242091257
68	0.8592814371	0.3236033122
69	0.8592814371	0.3228324235
70	0.8602794411	0.3220035759
71	0.8602794411	0.3214454879
72	0.8602794411	0.3200383291
73	0.8622754491	0.3191967505
74	0.8632734531	0.317956281
75	0.8632734531	0.3168992825
76	0.8632734531	0.3163495397
77	0.8632734531	0.315604722
78	0.8612774451	0.3137389162
79	0.8612774451	0.3128582922
80	0.8642714571	0.3120258506
81	0.8632734531	0.3110363745
82	0.8632734531	0.3096681393
83	0.8632734531	0.308645435
84	0.8632734531	0.3076784054
85	0.8612774451	0.3062809927
86	0.8622754491	0.3055470785
87	0.8622754491	0.3051387459
88	0.8632734531	0.3045841605
89	0.8652694611	0.3038241449
90	0.8652694611	0.3031547988
91	0.8662674651	0.3026197361
92	0.8652694611	0.3019764609
93	0.8652694611	0.3015365753
94	0.8642714571	0.3012081915
95	0.8652694611	0.3008298588
96	0.8662674651	0.3004255466
97	0.8642714571	0.2995292983
98	0.8642714571	0.2991306815
99	0.8662674651	0.2983260773
100	0.8642714571	0.2979779577
101	0.8642714571	0.2979674501
102	0.8632734531	0.2974496564
103	0.8632734531	0.2970599329
104	0.8662674651	0.2967969091
105	0.8672654691	0.2962784148
106	0.8682634731	0.2956524086
107	0.8672654691	0.2949156314
108	0.8672654691	0.294649897
109	0.8672654691	0.2943572084
110	0.8672654691	0.2942404071
111	0.8672654691	0.2939556982
112	0.870259481	0.2935392947
113	0.871257485	0.292672833
114	0.872255489	0.291797874
115	0.873253493	0.2915955199
116	0.873253493	0.2904043293
117	0.873253493	0.2900324839
118	0.871257485	0.2893587215
119	0.872255489	0.2887798926
120	0.872255489	0.288361083
121	0.873253493	0.2880494504
122	0.874251497	0.2875443875
123	0.875249501	0.2870277511
124	0.875249501	0.2867712451
125	0.875249501	0.2864335416
126	0.876247505	0.2851420877
127	0.877245509	0.2847578768
