iter	Passed	Remaining
0	28	28466
1	52	26261
2	78	26219
3	104	25929
4	132	26451
5	157	26106
6	184	26135
7	209	25993
8	233	25723
9	257	25477
10	279	25173
11	304	25066
12	329	25024
13	351	24731
14	376	24704
15	399	24588
16	427	24700
17	451	24638
18	476	24601
19	499	24491
20	524	24459
21	550	24492
22	577	24547
23	602	24491
24	627	24457
25	651	24412
26	678	24438
27	705	24489
28	733	24568
29	761	24621
30	785	24551
31	812	24584
32	846	24807
33	870	24744
34	894	24666
35	919	24615
36	943	24550
37	968	24510
38	991	24438
39	1017	24412
40	1039	24307
41	1061	24215
42	1085	24149
43	1110	24131
44	1133	24045
45	1156	23977
46	1183	24002
47	1207	23950
48	1233	23947
49	1258	23918
50	1283	23879
51	1309	23874
52	1338	23920
53	1363	23887
54	1386	23814
55	1420	23945
56	1455	24077
57	1480	24049
58	1502	23967
59	1525	23898
60	1550	23861
61	1575	23833
62	1605	23877
63	1630	23840
64	1657	23848
65	1687	23876
66	1713	23859
67	1743	23899
68	1767	23851
69	1789	23778
70	1815	23752
71	1841	23733
72	1869	23742
73	1893	23699
74	1918	23658
75	1948	23694
76	1975	23678
77	2000	23645
78	2022	23574
79	2047	23550
80	2074	23539
81	2101	23524
82	2128	23516
83	2154	23492
84	2181	23478
85	2209	23487
86	2236	23468
87	2262	23443
88	2290	23441
89	2315	23411
90	2340	23376
91	2361	23309
92	2392	23331
93	2417	23299
94	2442	23265
95	2468	23242
96	2492	23200
97	2519	23193
98	2544	23160
99	2570	23136
100	2595	23099
101	2629	23148
102	2651	23095
103	2676	23057
104	2703	23047
105	2725	22987
106	2749	22945
107	2771	22887
108	2792	22828
109	2818	22802
110	2840	22750
111	2863	22701
112	2888	22674
113	2912	22638
114	2937	22602
115	2961	22571
116	2987	22545
117	3016	22546
118	3046	22553
119	3068	22501
120	3093	22473
121	3120	22460
122	3143	22413
123	3167	22373
124	3197	22383
125	3220	22337
126	3248	22327
127	3272	22296
128	3299	22276
129	3322	22237
130	3347	22206
131	3372	22177
132	3397	22146
133	3421	22108
134	3446	22081
135	3471	22053
136	3496	22027
137	3518	21980
138	3541	21937
139	3568	21918
140	3591	21879
141	3615	21847
142	3646	21856
143	3678	21866
144	3702	21834
145	3733	21836
146	3762	21833
147	3784	21786
148	3808	21749
149	3829	21698
150	3854	21674
151	3880	21650
152	3904	21614
153	3928	21579
154	3950	21534
155	3973	21499
156	4000	21480
157	4028	21469
158	4052	21434
159	4076	21401
160	4099	21361
161	4131	21369
162	4157	21349
163	4180	21308
164	4202	21266
165	4229	21248
166	4255	21228
167	4277	21185
168	4305	21170
169	4331	21148
170	4357	21122
171	4380	21087
172	4404	21056
173	4431	21036
174	4457	21012
175	4481	20981
176	4508	20965
177	4534	20942
178	4559	20910
179	4581	20870
180	4604	20836
181	4625	20787
182	4647	20748
183	4678	20749
184	4703	20721
185	4727	20687
186	4751	20657
187	4777	20634
188	4801	20604
189	4828	20584
190	4850	20544
191	4876	20522
192	4900	20490
193	4923	20453
194	4949	20433
195	4971	20391
196	4998	20375
197	5023	20346
198	5051	20331
199	5073	20294
200	5096	20260
201	5119	20226
202	5143	20193
203	5168	20166
204	5193	20139
205	5214	20099
206	5242	20082
207	5268	20061
208	5294	20037
209	5321	20020
210	5344	19984
211	5370	19961
212	5396	19938
213	5418	19902
214	5445	19882
215	5470	19856
